bibkey,reference,year,section,subtheme,crop,technique,key_result,also_in_section
jung2023construction,Jung et al.,2023,Detection,Visual-CNN,Multi-crop,Stepwise CNN pipeline (AlexNet/VGG19/GoogLeNet/ResNet/EfficientNet),97.09% accuracy,
atila2021plant,Atila et al.,2021,Detection,Visual-CNN,Multi-crop,EfficientNet B0-B7 transfer learning,99.97% (B4 augmented),
prasad2024multiclass,Prasad et al.,2024,Detection,Visual-CNN,Grape,VGG16 + 3 conv layers (DCNN),99.06% accuracy,
mazumder2024robust,Mazumder et al.,2024,Detection,Visual-CNN,Multi-crop,LeafDoc-Net (DenseNet121 + MobileNetV2),Robust with limited data,
ashurov2025enhancing,Ashurov et al.,2025,Detection,Visual-CNN,Multi-crop,Depthwise CNN + SE + residual skips,Lightweight high accuracy,
duhan2024investigating,Duhan et al.,2024,Detection,Visual-CNN,Multi-crop,Attention (SE/CBAM/Transformer) in lightweight CNNs,Consistent improvement over baselines,
li2023pmvt,Li et al.,2023,Detection,Visual-ViT,Multi-crop,PMVT mobile vision transformer,High accuracy on mobile,
shoaib2023advanced,Shoaib et al.,2023,Detection,Visual-Review,Multi-crop,Review of CNN/Transformer/hybrid DL,Survey; generalisation gap identified,
aldakheel2024detection,Aldakheel et al.,2024,Detection,Visual-YOLO,Multi-crop,YOLOv4,99.99% accuracy,
wang2024vegetable,Wang & Liu,2024,Detection,Visual-YOLO,Vegetables,Modified YOLOv8n,7-9.5% mAP improvement,
soeb2023tea,Soeb et al.,2023,Detection,Visual-YOLO,Tea,YOLOv7,97.3% acc; 98.2% mAP,
wang2024efficient,Wang & Liu,2024,Detection,Visual-ViT,Tomato,TomatoDet (Swin-DDETR + IBiFPN),92.3% mAP @ 46.6 FPS,
qing2023gpt,Qing et al.,2023,Detection,Visual-LLM,Citrus,YOLOPC + GPT-4 reasoning,94.5% YOLO; 90% GPT reasoning,
ahmad2023toward,Ahmad et al.,2023,Detection,Visual-DomainAdapt,Multi-crop,Lab-to-field domain adaptation,Generalisation gap quantified,
xu2022transfer,Xu et al.,2022,Detection,Visual-Transfer,Multi-crop,Dual transfer ViT (ImageNet->PlantCLEF2022),Strong generalisation limited labels,
wu2023laboratory,Wu et al.,2023,Detection,Visual-DomainAdapt,Multi-crop,MRAN-UR (ResNet-50 + subdomain align),Superior cross-domain accuracy,
dong2024impact,Dong et al.,2024,Detection,Visual-VLM,Multi-crop,ViT + VPT/FFT/LPT OOD few-shot,94.8% AUROC (8-shot),
wang2023gacn,Wang & Cao,2023,Detection,Visual-GAN,Multi-crop,GACN (Generator+Discriminator+Classifier),Outperforms CGAN/ACGAN/BAGAN,
alshammari2024improved,Alshammari et al.,2024,Detection,Visual-GAN,Pear,CycleGAN augmentation,~7% accuracy improvement,
mu2024few,Mu et al.,2024,Detection,Visual-FewShot,Multi-crop,FSL + supervised contrastive learning,Effective from 1-5 examples,
rezaei2024plant,Rezaei et al.,2024,Detection,Visual-FewShot,Multi-crop,ViT vs CNN FSL + attention,ViT outperforms CNN,
jiang2025plantcafo,Jiang et al.,2025,Detection,Visual-VLM,Multi-crop,PlantCaFo (CLIP+DINO+DINOv2),93.53% (38-way 16-shot),
karim2024enhancing,Karim et al.,2024,Detection,Visual-Edge,Grape,MobileNetV3-Large + Jetson Nano,99.42% accuracy,
